job_title,resume_index,category,experience_level,match_score,resume_preview
HR Manager,0,HR,Senior,0.1728,"         HR ADMINISTRATOR/MARKETING ASSOCIATE

HR ADMINISTRATOR       Summary     Dedicated Customer Service Manager with 15+ years of experience in H"
HR Manager,1,HR,Senior,0.0349,"         HR SPECIALIST, US HR OPERATIONS       Summary     Versatile  media professional with background in Communications, Marketing, Human Resources"
HR Manager,2,HR,Senior,0.2941,"         HR DIRECTOR       Summary      Over 20 years experience in recruiting,   15 plus years in Human Resources Executive Management,   5 years of "
HR Manager,3,HR,Mid,0.0124,"         HR SPECIALIST       Summary    Dedicated, Driven, and Dynamic with over 20 years of customer service expertise. Motivated to maintain custome"
HR Manager,4,HR,Senior,0.2642,         HR MANAGER         Skill Highlights           HR SKILLS  HR Department Startup  Three New Organization Startups  Employment Law  FMLA/ADA/EEO
HR Manager,5,HR,Senior,0.0512,"         HR GENERALIST       Summary     Dedicated and focused Administrative Assistant who excels at prioritizing, completing multiple tasks simultan"
HR Manager,6,HR,Senior,0.1494,"         HR MANAGER       Summary    HUMAN RESOURCES MANAGER Extensive background in administrative duties, including experience in implementing staff"
HR Manager,7,HR,Senior,0.2267,         HR MANAGER         Professional Summary    Senior HR professional with a continuous improvement approach to building and supporting organizat
HR Manager,8,HR,Senior,0.1213,"         HR SPECIALIST       Summary    Possess 15+ years of experience as an HR Classification/Compensation Lead and as an HR Specialist, Recruitment"
HR Manager,9,HR,Senior,0.208,"         HR CLERK       Summary    Translates business vision into HR initiatives that improve performance, profitability, growth, and employee engage"
HR Manager,10,HR,Senior,0.1021,"         HR ASSISTANT       Summary    Highly motivated, and a dynamic Human Resources professional with diverse credentials seeking a position with a"
HR Manager,11,HR,Senior,0.1503,         HR MANAGER         Summary      Human Resources Manager with practical understanding of business needs. Areas of expertise include conflict m
HR Manager,12,HR,Senior,0.0445,         HR MANAGER         Summary    To obtain a position that offers many opportunities for growth and development that will enhance my existing kn
HR Manager,13,HR,Senior,0.2216,"         HR GENERALIST       Summary     A people-oriented, results-driven professional with outstanding communication skills.   Extensive experience "
HR Manager,14,HR,Senior,0.3131,"         HR COORDINATOR         Summary    Applicant Screening, Background Checks, Benefits Administration, Compliance, Compensation, Drug Testing, EE"
HR Manager,15,HR,Senior,0.0049,"         HR CLERK       Summary     I am an ethical, team oriented and policy driven individual with experience in AP/AR, Human Resource Administratio"
HR Manager,16,HR,Senior,0.0695,"         HR ANALYST         Summary     Experienced professional with background in Human Resources, Administrative, and Customer Service environments"
HR Manager,17,HR,Senior,0.2103,"         HR DIRECTOR           Summary    Human Resource Professional
Confident, Resourceful Human Resources professional, with academic background in"
HR Manager,18,HR,Senior,0.328,         HR GENERALIST/RECRUITER           Summary     Human Resource Generalist who is an great communicator and negotiator with strong conflict reso
HR Manager,19,HR,Senior,0.2184,         HR CONSULTING       Summary    7+ years of Experience as a HR Partner with experience in all the facets of the Human Resource Function. Exten
HR Manager,20,HR,Senior,0.0958,"         HR GENERALIST           Summary    Young, dedicated and focused office administrative assistant who excels at prioritizing, completing multip"
HR Manager,21,HR,Senior,0.3241,           HR ASSOCIATE         Professional Summary    Enthusiastic and goal-oriented HR Professional with 3+ years experience driving innovation and
HR Manager,22,HR,Senior,0.1882,         HR SPECIALIST       Summary    An Human Resources Specialist  with over  9  years in recruitment and federal employment processes.  An energe
HR Manager,23,HR,Senior,0.2607,         HR COORDINATOR       Summary     Certified Human Resources Professional with extensive employee relations experience in a full range of funct
HR Manager,24,HR,Senior,0.3046,"         HR GENERALIST         Summary    Energetic, Bilingual Human Resources Professional offering ~11 years of extensive and successful experience
"
HR Manager,25,HR,Senior,0.0486,         HR COORDINATOR       Professional Summary     Highly efficient Hr Coordinator well established in administrative environments that are fast-p
HR Manager,26,HR,Senior,0.2914,"         HR MANAGER/GENERALIST       Summary    Background of progressively responsible Human Resources experience in union and non-union, ISO and FDA"
HR Manager,27,HR,Senior,0.2314,         HR REPRESENTATIVE       Summary    Experienced human resources professional with working knowledge of state and federal employment laws and r
HR Manager,28,HR,Senior,0.0486,         HR DIRECTOR/ADMINISTRATOR           Executive Profile    A self-motivated individual with over 20 years' experience successfully managing a m
HR Manager,29,HR,Senior,0.0,"         HR INTERN       Summary    An enthusiastic student, highly motivated and committed to developing personally and
professionally. Have the abil"
HR Manager,30,HR,Senior,0.1701,         HR ASSISTANT             Highlights          Interviewing expertise  Employee Relations  Manager Coaching and training  Event management  Emp
HR Manager,31,HR,Senior,0.3115,         HR GENERALIST       Professional Profile     Responsible administrative support professional with extensive experience in Project Management 
HR Manager,32,HR,Senior,0.3134,"         HR MANAGER       Executive Profile    Accomplished HR Professional experienced in strategic planning, organizational development and manageme"
HR Manager,33,HR,Senior,0.1453,"         HR CONSULTANT       Summary     Detail-oriented 25 years human resources professional who excels under tight deadlines, while anticipating an"
HR Manager,34,HR,Senior,0.1796,         HR COORDINATOR           Summary    To obtain a challenging career in the human resource field where I can utilize my capabilities and experi
HR Manager,35,HR,Senior,0.1524,         HR MANAGER         Summary     Human Resources Professional with practical understanding of business needs. Areas of expertise include confli
HR Manager,36,HR,Senior,0.1161,         HR GENERALIST           Summary     Human Resource Manager adding value by contributing to company growth and profitability. Trusted adviser 
HR Manager,37,HR,Senior,0.072,         HR PARTNER           Summary     Experienced Human Resources Business Partner with expertise in partnering with Line of Business Leaders to p
HR Manager,38,HR,Senior,0.1429,         HR SPECIALIST           Summary     Energetic Administrative Assistant with 30+ years experience in high-level executive support roles. Organ
HR Manager,39,HR,Senior,0.2148,         HR DIRECTOR           Professional Summary    Experienced HR Manager over 3 facilities with 10 years of proven HR experience in all areas of 
HR Manager,40,HR,Senior,0.0588,         HR EXECUTIVE       Summary     Dual specialization in the domain of Human Resource Management and Finance.       Highlights          Human re
HR Manager,41,HR,Senior,0.1131,         HR EXECUTIVE       Professional Summary    Forward-thinking HR Generalist highly effective at adapting to evolving market plans and the needs
HR Manager,42,HR,Senior,0.2602,"         HR GENERALIST         Skills        Microsoft Office Suite, SAP, Kronos, IBM, ADP, ATS, MSS, HRSS, and Oracle, Workbrain, T            Experi"
HR Manager,43,HR,Senior,0.0304,         HR ASSISTANT       Professional Profile     Skilled Program Coordinator bringing extensive background in technology and business process. Org
