job_title,resume_index,category,experience_level,match_score,resume_preview
Network Engineer,2328,ARTS,Senior,0.4635,         SENIOR NETWORK SECURITY ENGINEER          https://www.linkedin.com/in/dilip-nr/         Professional Summary     Overall 7+ years of experien
HR Manager,75,HR,Senior,0.4052,"         SR. HR GENERALIST       Summary    Quality-driven analytical professional who delivers consistent and successful results in HR affairs, inclu"
Network Engineer,980,BPO,Senior,0.3886,"         SR. NETWORK ENGINEER       Summary      Bilingual Network Engineer offering in-depth understanding of IT infrastructure areas, particularly I"
Java Developer,1195,CONSULTANT,Senior,0.3829,         CONSULTANT           Summary    7 years of professional IT experience with Masters degree in computer applications; worked mainly with Java (
Network Engineer,298,INFORMATION-TECHNOLOGY,Senior,0.3635,"         INFORMATION TECHNOLOGY AND AWS ADMIN INTERN           Experience      Information Technology and AWS Admin Intern  ,     04/2019       Compan"
Network Engineer,224,INFORMATION-TECHNOLOGY,Senior,0.3586,         DIRECTOR OF INFORMATION TECHNOLOGY       Career Overview    Seeking a position as a Director of I.T. in a company where I am able to utilize 
HR Manager,105,HR,Senior,0.3576,         HR MANAGER/BUSINESS PARTNER           Summary    A Human Resources Business Partner with extensive experience aligning HR strategy with busin
HR Manager,90,HR,Senior,0.3554,"         HR SHARED SERVICES ANALYST           Summary    Versatile HR professional with a strong benefits administration background, progressive cross"
HR Manager,68,HR,Senior,0.348,         HR DIRECTOR       Summary     HR Professional offering over 15 years of progressive experience including extensive practice in multi-unit bus
HR Manager,80,HR,Senior,0.3472,"         REGIONAL HR MANAGER       Summary    Holistic HR Professional with 5 years 7 months experience in Human Resources vertical in areas of
recrui"
Java Developer,297,INFORMATION-TECHNOLOGY,Senior,0.3377,         INFORMATION TECHNOLOGY INTERN (TEST AUTOMATION ENGINEER)       Summary      Over 3 years of experience serving as a key contributor across al
HR Manager,18,HR,Senior,0.328,         HR GENERALIST/RECRUITER           Summary     Human Resource Generalist who is an great communicator and negotiator with strong conflict reso
HR Manager,21,HR,Senior,0.3241,           HR ASSOCIATE         Professional Summary    Enthusiastic and goal-oriented HR Professional with 3+ years experience driving innovation and
HR Manager,52,HR,Senior,0.3209,"         HR GENERALIST       Professional Summary    9 years of experience in Human Resources, benefit administration, employees relations, recruitmen"
HR Manager,32,HR,Senior,0.3134,"         HR MANAGER       Executive Profile    Accomplished HR Professional experienced in strategic planning, organizational development and manageme"
HR Manager,14,HR,Senior,0.3131,"         HR COORDINATOR         Summary    Applicant Screening, Background Checks, Benefits Administration, Compliance, Compensation, Drug Testing, EE"
HR Manager,31,HR,Senior,0.3115,         HR GENERALIST       Professional Profile     Responsible administrative support professional with extensive experience in Project Management 
HR Manager,50,HR,Senior,0.3092,"         HR ASSISTANT/PAYROLL         Highlights        Paychex, Mastertax, ABRA, Time Star, InfoTronics, Store Master, Dominion, QuickBooks
Ceridian,"
HR Manager,24,HR,Senior,0.3046,"         HR GENERALIST         Summary    Energetic, Bilingual Human Resources Professional offering ~11 years of extensive and successful experience
"
HR Manager,55,HR,Senior,0.3042,         HR MANAGER             Highlights          SENIOR HUMAN RESOURCES STRATEGIST / RECRUITMENT MANAGER  Talent Management | Strategic Recruitment
Network Engineer,260,INFORMATION-TECHNOLOGY,Senior,0.298,"         INFORMATION TECHNOLOGY SPECIALIST       Summary    Security+ Certified LAN/WAN (T1, Frame Relay, TCP/IP) IAVA Routers/Firewalls/Switches/Wi-F"
HR Manager,2,HR,Senior,0.2941,"         HR DIRECTOR       Summary      Over 20 years experience in recruiting,   15 plus years in Human Resources Executive Management,   5 years of "
HR Manager,57,HR,Senior,0.2939,         HR GENERALIST       Professional Summary    Dependable and responsible Human Resources Generalist with over fourteen years experience in a fa
HR Manager,1170,CONSULTANT,Senior,0.2916,"         CONSULTANT           Summary    HR Professional with nearly 5 years of experience with expertise in HR Operations, Benefits, Employee Relatio"
HR Manager,26,HR,Senior,0.2914,"         HR MANAGER/GENERALIST       Summary    Background of progressively responsible Human Resources experience in union and non-union, ISO and FDA"
HR Manager,65,HR,Senior,0.2781,         HR CONSULTING       Summary    7+ years of Experience as a HR Partner with experience in all the facets of the Human Resource Function. Exten
Network Engineer,301,INFORMATION-TECHNOLOGY,Senior,0.2695,         DIRECTOR OF INFORMATION TECHNOLOGY AND ANALYTICS           Summary     Accomplished senior manager with over 15 years of experience leading c
Network Engineer,1187,CONSULTANT,Senior,0.2684,"         IT CONSULTANT           Professional Profile    Accomplished Senior IT Engineer with
demonstrated ability to analyze business requirements an"
Java Developer,124,DESIGNER,Senior,0.2669,"         TECHNICAL DESIGNER           Career Overview     

●  Having 8.5 years
of IT experience as Software developer in Java/J2EE Technologies  

● "
Java Developer,2457,AVIATION,Senior,0.2662,"         JAVA INTERN       Career Overview     Developer well-versed in structuring, developing and implementing interactive websites.  with experienc"
HR Manager,4,HR,Senior,0.2642,         HR MANAGER         Skill Highlights           HR SKILLS  HR Department Startup  Three New Organization Startups  Employment Law  FMLA/ADA/EEO
HR Manager,23,HR,Senior,0.2607,         HR COORDINATOR       Summary     Certified Human Resources Professional with extensive employee relations experience in a full range of funct
HR Manager,42,HR,Senior,0.2602,"         HR GENERALIST         Skills        Microsoft Office Suite, SAP, Kronos, IBM, ADP, ATS, MSS, HRSS, and Oracle, Workbrain, T            Experi"
Network Engineer,1778,ENGINEERING,Senior,0.258,"         CORPORATE ENGINEERING SUPPORT TECHNICIAN       Summary    TECHNICAL SUPPORT ENGINEER
Technical Support  Telecom Support  Networking Support  "
HR Manager,72,HR,Senior,0.2543,"         SENIOR HR MANAGER, HR BUSINESS PARTNER           Summary    A highly dedicated and accomplished human resources manager with a record of prof"
Network Engineer,324,INFORMATION-TECHNOLOGY,Senior,0.2526,         IT MANAGER       Summary    Ten years of management experience with a focus on team building and project management. Ten years of experience 
Network Engineer,241,INFORMATION-TECHNOLOGY,Senior,0.2514,"         INFORMATION TECHNOLOGY MANAGER       Professional Summary    Possesses an extensive background in Information Technology Management, along wi"
HR Manager,60,HR,Senior,0.2501,"         HR COORDINATOR       Summary     To obtain a Human Resources Generalist position that will fully utilize my extensive background and in HR, i"
HR Manager,2337,ARTS,Senior,0.2484,"         LOGISTICS COORDINATOR       Summary    To obtain a full-time position with a company that offers opportunities and growth potential, while co"
HR Manager,46,HR,Senior,0.2424,"         HR GENERALIST       Experience     08/2017   to   Current     HR GENERALIST    Company Name   －   City  ,   State      Recruited to help open"
HR Manager,2330,ARTS,Senior,0.2412,         SALES & CUSTOMER SERVICE REP           Summary     Administrative & HR Professional Holds Master of Arts (Honors) degree in Human Resource De
Network Engineer,982,BPO,Senior,0.2408,         IT SUPPORT OFFICER           Executive Profile    Seeking assignments in Hardware Network Servers Technical Support with an organization to d
Java Developer,1142,CONSULTANT,Senior,0.2366,         CONSULTANT       Summary    College graduate with interest in insurance claims work. Proven record of success in all endeavors. Strong work e
HR Manager,61,HR,Senior,0.2358,"      Summary    Chicago
HR generalist offering 
 Recruitment, Attendance Management System, Payroll Processing, MIS, Employee Engagement
 processing "
HR Manager,27,HR,Senior,0.2314,         HR REPRESENTATIVE       Summary    Experienced human resources professional with working knowledge of state and federal employment laws and r
HR Manager,85,HR,Senior,0.2309,         SENIOR HR BUSINESS PARTNER           Summary     Human Resources Professional with 8 years of experience in human resources and recruiting. E
HR Manager,106,HR,Senior,0.2301,         DESIGNATION: HR ASSISTANT       Professional Summary     Human resources coordination and management professional offering a strong backgroun
